What is refund policy?|You can request a refund within 7 days of purchase. Refunds are processed within 3–5 working days.
How do I reset my password?|Click on the forgot password option on the login page. Follow the email instructions to create a new password.
How can I contact support?|You can contact support through email or live chat. Our team responds within 24 hours.
Do you provide certificates?|Yes, certificates are provided after course completion. You can download them from your dashboard.
Is lifetime access available?|All purchased courses include lifetime access. You can learn anytime at your convenience.
Can I access courses on mobile?|Yes, courses are accessible on mobile devices. You can use browser or mobile app for learning.
How do I update my profile?|Go to account settings from your dashboard. Edit details and click save changes.
What payment methods are accepted?|We accept credit cards, debit cards, and online payments. Secure payment gateways are used for transactions.
Can I change my enrolled course?|Course changes are allowed within the first 48 hours. Contact support to request modification.
Why am I not receiving emails?|Check your spam or junk folder first. Ensure your registered email address is correct.
How do I download course materials?|Course materials are available inside each lesson. Click the download button to save files.
Is there any free trial available?|Some courses offer a free preview section. You can explore lessons before purchasing.
Can I pause my learning progress?|Yes, your progress is automatically saved. You can resume anytime from where you stopped.
How secure is my personal data?|We use encryption and secure servers for data protection. Your information is never shared with third parties.
How do I change my password?|Open account settings and choose change password. Enter old password and set a new one.
What should I do if payment fails?|Retry payment after checking bank details. If money is deducted, contact support immediately.
Can I access courses offline?|Offline access is available through downloadable resources. Videos require internet connection for streaming.
How long does certification take?|Certificates are generated automatically after completion. It usually takes a few minutes to appear.
Do you offer group discounts?|Yes, group enrollment discounts are available. Contact sales team for special pricing.
How can I delete my account?|Submit an account deletion request from settings. Our team will process it within 48 hours.
